人员id,电影id,人员名字,类型
e6343901-6bd5-4b1f-9a19-237ddb6d22a3,30135548,后亘 凝雪翼,1
53ca7927-b2b0-41fc-8a9c-9c2048e26a4f,30135548,安康伟 孟娇霞,2
1395969,34453867,穆罕默德·萨拉赫,2
1398262,27165968,皮得·里达·米切尔,0
1398262,27165968,亚伦·霍瓦斯,1
1366111,27165968,迈克尔·杰勒尼克,1
1054455,27165968,尼古拉斯·凯奇,2
1031240,27165968,克里斯汀·贝尔,2
1044709,27165968,威尔·阿奈特,2
1078960,27165968,塔拉·斯特朗,2
1017966,27165968,詹姆斯·柯登,2
1222311,27165968,卡里·佩顿,2
1162789,27165968,格雷格·西佩斯,2
1013888,27165968,斯坦·李,2
1398264,27165968,哈尔希,2
1040719,27165968,吉米·坎摩尔,2
1120547,27165968,斯科特·门维尔,2
1167439,27165968,海登·瓦尔希,2
1171011,27165968,达纳·斯耐德,2
1398265,27165968,Lil Yachty,2
1404160,30358052,胡玛格,0
1404160,30358052,胡玛格,1
1406079,30358052,方文龙,2
c4c46dbf-8d4a-417a-bf88-a0797641bfd8,30358052,巧儿,2
2331ccef-507e-4232-a961-92804c2f5ead,30370906,赵菲,2
e9ad81d8-aea7-454b-a39c-297666ebfc88,30370906,储小蕾,2
1323941,30284893,沈乐平,0
0e1ab2ce-5937-40ae-8b5e-6889f8217729,30284893,魏本娜,1
1326543,30284893,沈达威,2
1339312,30284893,醋醋,2
1349631,30284893,赵路,2
1343131,30284893,王宇航,2
1320632,30284893,阿杰,2
1328289,30284893,吴磊,2
1318496,30284893,冯骏骅,2
1411636,30284893,郭鸿博,2
1328707,30284893,杨鸥,2
1342680,30284893,赵洋,2
1390180,30284893,卞云鹏,2
807a903e-690f-48e4-bb78-5fb72b1c56b4,30284893,忙音,2
c521d972-5bc5-40d7-a5de-a079cd857092,33403749,Jack Spring,0
45ab49fc-fd66-41f5-90ff-c1ec989b189a,33403749,David J. Keogh,1
d36a8fcb-0b99-4e82-9325-fbe12337aeb8,33403749,Jonathan Marks,1
39ea3cdd-57cc-4823-a26e-d0a03a81d9ba,33403749,Aaron Nelson,1
55810c41-31a9-45fa-8a3b-4a089f013c89,33403749,Jack Spring,1
1088108,33403749,Anna Dawson,2
6846f28b-87af-4161-8421-68dabf714a1d,33403749,Richard Hazlehurst Mason,2
5c97b8ba-473c-48ec-9f69-15c85abea82e,33403749,Filip Mayer,2
1378009,30132541,潘采夫,2
1387997,30132541,司徒格子,2
1388026,30132541,王冲,2
1388110,30132541,赵兰富,2
1388111,30132541,古革军,2
1350504,27598384,戴维·斯特雷顿,0
1360205,27598384,约翰·哈拉文,1
1242781,27598384,史蒂芬·亨特,1
1040999,27598384,瑞恩·菲利普,2
1022677,27598384,珊特尔·范圣滕,2
1318729,27598384,辛希亚·阿戴-罗宾森,2
1009316,27598384,欧玛·艾普斯,2
1382773,27598384,莱克西·科尔克,2
1017961,27598384,杰西·布拉德福特,2
1229579,27598384,马特·沙伦伯格,2
1402898,27598384,德莱纳·米切尔,2
1124530,27598384,埃迪·麦克林托克,2
1123961,27598384,杰拉尔德·麦克雷尼,2
1004844,27598384,乔什·斯图沃特,2
c50803d9-2498-4457-9e1e-6ddeccb58bcd,30353107,Michael Kirk,0
c7c9daaa-e763-4273-9165-fdda8b9f09b7,30353107,"Michael Kirk, Mike Wiser",1
b7adaaf3-d9f7-489c-9905-cddbae9f8ceb,30353107,Priyanka Boghani,2
6ee9c414-9f78-4c23-b5b8-83a81d35b04f,30353107,Sarah Childress,2
4d70f77a-ba7e-4556-aef5-54eef66ff8bc,30353107,Jim Gilmore,2
1402773,26948407,丹尼尔·珀西瓦尔,0
1036650,26948407,菲利普·K·迪克,1
1041735,26948407,弗兰克·斯伯特尼,1
1017927,26948407,艾莉克莎·黛瓦洛斯,2
1017958,26948407,DJ·考尔斯,2
1089839,26948407,乔尔·德·拉·冯特,2
1149250,26948407,田川洋行,2
1041126,26948407,卢夫斯·塞维尔,2
1000209,26948407,鲁珀特·伊文斯,2
1269408,26948407,卢克·克莱恩坦克,2
1212229,26948407,谢拉赫·霍斯达尔,2
1344856,26948407,布雷南·布朗,2
1251111,26948407,阿诺德·陈,2
1316911,26948407,贝拉·希思科特,2
1004968,26948407,奎恩·罗德,2
3c9ac87e-0537-48ec-9dba-16b2f2104b1b,30345771,Ekta Mittal,0
1320263,26683421,尹钟彬,0
1320263,26683421,尹钟彬,1
1051046,26683421,黄政民,2
1321576,26683421,李星民,2
1322203,26683421,赵震雄,2
1041047,26683421,朱智勋,2
1332686,27194985,源孝志,0
1365087,27194985,蓬莱龙太,1
1025644,27194985,谷崎润一郎,1
1032915,27194985,中山美穗,2
1037678,27194985,高冈早纪,2
1000823,27194985,伊藤步,2
1274749,27194985,中村友理,2
1275370,27194985,福士诚治,2
1307243,27194985,柄本佑,2
1315885,27194985,甲本雅裕,2
1314937,27194985,神尾佑,2
1015108,27194985,水桥研二,2
1011473,27194985,长塚京三,2
1037741,27194985,松尾铃木,2
1008604,27194985,石黑贤,2
1275807,27194985,室毅,2
1382011,27186359,中野英明,0
759fe2cf-b0ab-4862-a08c-e5070b775735,27186359,久尾歩,1
1274697,27186359,寺岛拓笃,2
1052297,27186359,梶裕贵,2
1275200,27186359,下野纮,2
1316920,27186359,堀江一真,2
1015315,27186359,柿原彻也,2
1194806,27186359,津田健次郎,2
1330095,27602570,布莱恩·A·米勒,0
4dcbaa2b-7b89-4c85-bca4-c672de111d9c,27602570,Mike Maples,1
1047996,27602570,西尔维斯特·史泰龙,2
cd103820-49f9-4c50-8135-1f7ad9e28bab,30255210,CHAO,0
1398046,30283656,伊凡·埃尔,0
1398046,30283656,伊凡·埃尔,1
1416238,30283656,基斯莱·基斯莱,1
1416239,30283656,吉蒂卡·维迪亚·奥利安,2
1416240,30283656,萨洛尼·巴特拉,2
1416241,30283656,维卡斯·舒克拉,2
1416242,30283656,莫希·查乌汗,2
1416243,30283656,希曼什·科赫利,2
1416244,30283656,高里·查克拉波蒂,2
1314402,30125997,林子聪,0
1274567,30125997,陈浩民,2
1314402,30125997,林子聪,2
1375489,30125997,钟久夫,2
1350958,30125997,邹文正,2
1229775,30125997,陈国坤,2
fc55d7ab-60b1-42a1-9c42-d6503c9d5568,30125997,叶静涵,2
1317182,30125997,金刚,2
1274331,30125997,王晶,2
1108968,30125997,罗家英,2
1354115,30125997,杨能,2
1286762,30381900,王男栿,0
c622fec9-8fd0-45e3-a877-0a8dcd644584,27625642,Aneil Karia,0
1339956,27625642,丹尼尔·英格斯,2
1206041,27625642,强尼·弗林,2
1314886,27625642,安东尼娅·托马斯,2
1362319,33418396,全炫茂,2
1364926,33418396,朴正洙,2
1357493,33418396,林娜琏,2
1417439,33418396,李民浩,2
1349004,33418396,金亚荣,2
5c2226b3-3f50-4176-ae07-bf003e2c1ca7,33418396,崔民赫,2
6f9b0b8c-b88b-461e-9c37-fc5035148cef,33418396,尹惠英,2
0bc7ac6b-bf07-4420-8b28-cb60c48c5d48,33418396,加姆斯特,2
f45ffae4-6e05-472b-a291-587575968a8b,33418396,姜胜淏,2
2c2dba1b-0a7e-4e79-be3a-32dba31ca827,33418396,车尚恩,2
1400811,33418396,李珠园,2
1388717,33418396,夫胜宽,2
5ad94bac-28b1-45ff-bd15-7ef94e5ffe78,33418396,尹汝春,2
58769a1c-9c06-4935-90a5-826a98830c7e,33418396,梁相国,2
1275030,33418396,徐智锡,2
1386062,33418396,申东熙,2
1375504,33418396,梁世亨,2
1376651,33418396,河成云,2
1376650,33418396,裴珍映,2
1408038,33418396,全圆佑,2
1388716,33418396,金珉奎,2
1412206,33418396,尹净汉,2
1412207,33418396,李知勋,2
1408039,33418396,李硕珉,2
1412279,33418396,权顺荣,2
1412208,33418396,李灿,2
e6566518-fda7-4dbb-b3d6-961528ae6c54,33418396,郑泽运,2
a83d0143-c8e8-4934-a5fd-fce1fe5d60b1,33418396,李在焕,2
1c994713-29ed-453d-a8b2-9bcd5772adca,33418396,金元植,2
1360542,33418396,裴柱现,2
1387493,33418396,姜涩琪,2
1387457,33418396,孙胜完,2
1368634,33418396,朴秀荣,2
1387459,33418396,金艺琳,2
1419037,33418396,赵美延,2
1419038,33418396,米妮·妮查·约塔拉里克,2
1419040,33418396,徐穗珍,2
1400907,33418396,田小娟,2
1400906,33418396,宋雨琦,2
1419039,33418396,叶舒华,2
1401935,33418396,金旼祉,2
1402033,33418396,金宝罗,2
1402030,33418396,李始娟,2
1402031,33418396,韩东,2
1402032,33418396,金裕贤,2
1402034,33418396,李愈彬,2
1402035,33418396,李佳泫,2
1408078,33418396,表慧美,2
1405057,33418396,倞利,2
1366427,33418396,金素晶,2
1366428,33418396,郑艺琳,2
1366429,33418396,丁恩妃,2
1366426,33418396,崔俞娜,2
1366430,33418396,黄恩菲,2
1366431,33418396,金艺源,2
794c6741-fd93-4c0c-af02-b3e8351a6606,33418396,崔润雅,2
ff2cf708-3707-4680-802e-9023ddd8d49f,33418396,杨惠善,2
17f19f65-3f4a-430a-80dc-266f6296169e,33418396,李湵京,2
35db9d53-5fb1-4bd2-af37-416dfdef4e15,33418396,金昭喜,2
5b1c987c-24e7-48f8-a1c9-88bc5ee82147,33418396,闵佳璘,2
aed38d34-bcbc-4eef-9e9e-3121e5a482aa,33418396,韩胜宇,2
c78c8cbe-0d19-4cd8-9c65-592e86e514ba,33418396,姜昇植,2
4c9355f3-2afd-4424-b367-1ec4c9c771ac,33418396,许灿,2
6f736593-701f-4d3f-9a30-8b0197b44265,33418396,林势俊,2
8823af63-dee3-425a-9dd0-2845173aa696,33418396,都韩势,2
1380169,33418396,崔秉灿,2
d1820098-a1b5-4b73-a0da-ef34b1bf8328,33418396,郑秀彬,2
1402870,33418396,郭英敏,2
1395267,33418396,金钟炫,2
1401439,33418396,姜东昊,2
1381032,33418396,崔珉起,2
1405295,33418396,李娜炅,2
1388714,33418396,李宜缜,2
1331878,33418396,吴光硕,2
1393507,33418396,朴大元,2
1393506,33418396,李亨根,2
1393505,33418396,高镐廷,2
1393504,33418396,池韩率,2
1381040,33418396,李濬荣,2
1392911,33418396,康裕瓒,2
1393503,33418396,金基重,2
1388749,33418396,黄旭熙,2
1388755,33418396,李帝努,2
1388754,33418396,钟辰乐,2
343abc09-63cb-468b-8626-1c3cfecdba8d,33418396,林煐岷,2
d9be8eae-2de7-4bf6-a42c-fe95c364599e,33418396,金东贤,2
c53c66bf-4c92-4494-abed-c83bf4b658a7,33418396,李上渊,2
ba630d69-d840-4f35-afbb-c2d05a41de0f,33418396,裴俊英,2
1393818,33418396,金泳勋,2
bbc60a42-1b32-473d-be93-856eb393ef51,33418396,李在贤,2
6a6fe4a0-fdac-4be3-8fc2-fe30166a785c,33418396,李柱延,2
d3097e91-3ac2-4d80-95d5-c2540926837f,33418396,文炯书,2
4e7a63c8-19f0-4040-a75d-4c9285d80779,33418396,崔澯熙,2
ff430b0b-042c-4cf2-85f2-5ab93e1390bb,33418396,池昌民,2
fc49cf88-0182-4bb2-a43d-bc930032462d,33418396,周鹤年,2
290e3775-08b7-40c0-bd39-5b1fef3c3086,33418396,许玹埻,2
3bdcb481-37ae-4ec4-ad9b-fd070112b618,33418396,金善旴,2
b33ca9c3-10c4-4d24-ae5d-fcb06bc77f5d,33418396,孙英宰,2
6a5087b4-02a8-4a28-a0fb-a902f32d20df,33418396,金桐俊,2
8cf2d051-91a6-4037-abd9-fa70c59e1387,33418396,黄正夏,2
bbbfb952-f394-4bd5-9b4e-f348f66b77a8,33418396,柳昇佑,2
21cc2d48-9a84-450d-9b9c-454e9a77f03a,33418396,金炫秀,2
c8b88853-de3e-431d-aabf-f2d85a048313,33418396,李慧彬,2
1389085,33418396,李多斌,2
50d55787-e93c-4a14-bf6c-98f5235191f1,33418396,成智筵,2
07d0e4bd-aa52-4f91-b5cb-7ff212898cbf,33418396,金泰河,2
982823aa-2aaa-4b25-b941-42e1ea06623f,33418396,金娜允,2
02685123-a3ef-451c-8173-01bccaf8ea3a,33418396,Daisy  戴西·柳,2
2899a5b6-3684-4585-b6ce-21a250c0d4db,33418396,李妸仁,2
1389096,33418396,李承利,2
92377311-bafb-453d-8088-dae02b10d38d,33418396,金明俊,2
806848d1-9bc5-45a0-810d-809c53f59aab,33418396,朴真祐,2
1348191,33418396,车银优,2
17feeac0-df4a-4b99-bfc2-b0b8ae89b7b8,33418396,文彬,2
2c695cc4-3cd6-4b03-be37-0c98621c96dc,33418396,朴敏赫,2
9c0ec9a8-1283-4611-8f5c-2f4c72477519,33418396,尹产贺,2
1386999,33418396,金宇珍,2
1386998,33418396,方灿,2
1387000,33418396,李旻浩,2
1387001,33418396,徐彰彬,2
1387002,33418396,黄铉辰,2
1387004,33418396,韩知城,2
1387003,33418396,李费利克斯,2
1387048,33418396,金昇玟,2
1387005,33418396,梁精寅,2
1408586,33418396,吴承姬,2
1391796,33418396,崔有真,2
1408580,33418396,张丞延,2
1408581,33418396,张睿恩,2
1341856,33418396,庄锭欣,2
1402893,33418396,权恩彬 ,2
1388984,33418396,林娜荣,2
88aff368-928a-4d24-a897-4ed677998a66,33418396,金珉炅,2
1395266,33418396,郑恩宇,2
4b0c219b-10f6-430d-b97c-1032c3793280,33418396,姜艺彬,2
3410a4c7-d74a-4ee8-8472-47d720da74a8,33418396,金誉媛,2
e241d1fc-84ff-4716-94b5-bdbcb124eabd,33418396,尹彩暻,2
f7fa4533-8ead-4454-8c3a-acef4d34d80f,33418396,金采媛,2
1404199,33418396,李娜恩,2
1a4a5cc4-8cc4-42b3-8e0e-d0d6a7892ce0,33418396,梁睿娜,2
52bc6b0f-e291-48fa-8ef4-8e0150b93386,33418396,成娜妍,2
ea9f1b69-1640-49df-8c1e-5da34c42e8b5,33418396,李真率,2
1417431,33418396,金炫廷,2
28530ef3-6c91-4718-ab66-089f08faa2d1,33418396,秋昭贞,2
bc9bb883-1b5a-43d9-af9c-a9183334363d,33418396,朴秀斌,2
1399089,33418396,李露朵,2
f1f6ccbb-d4b9-4990-983c-36744b98ebe8,33418396,南多愿,2
0669a55b-774e-4dab-b0ba-d2c31dfc6236,33418396,孙周延,2
0f0366ae-361d-4d21-9a41-b6825ee9775b,33418396,恩熙,2
b00d2f7e-bac0-4863-a85e-ae215742af15,33418396,李真淑,2
03e3ad7f-8723-4ff8-8627-885f75736416,33418396,任多荣,2
1385204,33418396,俞琏静,2
525e8878-2a25-45cd-8d13-d2a7e953fe21,33418396,郑美美,2
07701844-6d62-4c3e-a366-9fb72d13d55e,33418396,辛宝罗,2
1ff531fe-13fb-4e04-bcae-85ec67fa7b0b,33418396,韩海彬,2
1402200,33418396,金娜英,2
1376474,33418396,金世正,2
1388635,33418396,刘些宁,2
9ad38239-7184-491c-bcb9-59fb18fdeee6,33418396,张昭真,2
1378719,33418396,姜美娜,2
23c3fec0-90a2-4bff-90d2-918698442874,33418396,赵慧妍,2
5d3cba77-54d5-428b-bf49-7f9458dc466b,33418396,李大烈,2
0d78faa2-f191-43e6-a99a-6961b89716a1,33418396,崔诚允,2
2b6bb437-bafc-4e2b-9dea-b085a30d67d9,33418396,李长埈,2
b0b11b3a-f920-47f8-9976-0a51b7e457bd,33418396,裴胜民,2
03407d0e-8870-47cf-b01d-17028dd51fb4,33418396,奉宰铉,2
da5fe4c3-eb04-47fe-9b83-0b9da8c8928e,33418396,金知范,2
4a502278-6caa-403b-acc2-90a15d6cf411,33418396,金东炫,2
f6cf035b-3b9f-4bf2-9c09-712409667402,33418396,洪周灿,2
1414504,33418396,崔普闵,2
81be69de-2a75-4c03-a260-25563ed1fdd5,33418396,朴知元,2
db97f160-8173-47eb-89d8-34be485801ce,33418396,金成焕,2
df5f537c-5e76-4b25-ad61-67c9d3957492,33418396,金成灿,2
4ebc9709-8071-43a0-9fc9-2b8a9b55854e,33418396,黄宜廷,2
cd712aae-1b94-4df9-8762-ce3e28e076a5,33418396,金然学,2
bf0ff4fa-625c-4ac8-8473-469938493056,33418396,金建雄,2
d47f8a8d-ac46-4b67-afb0-c033282b99f7,33418396,本田太一,2
8d8438f4-67b7-474b-a287-953f7f1448f6,33418396,HEY GIRLS,2
347e998d-b8b1-462e-8b3c-449736d66625,33418396,奉窦里,2
7cfb637d-c3b7-4254-aebc-03ae59ee1ff4,33418396,金素娜,2
ae55a185-1e9b-4bf9-bd37-7eebd0976ce9,33418396,朴珍,2
a049daaf-de8b-4f8a-ad2d-aa669866adf2,33418396,李车丽思,2
e9c22cd2-7fe0-4e09-aa6f-b8b0508309ac,33418396,安彩熙,2
927f7fd5-97d4-48e7-a231-652a3cd9dee9,33418396,池秀娟,2
cd7cdf5b-aa2d-4013-b3d2-69873c0ac72a,33418396,郑海琳,2
1385482,33418396,磪有情,2
1385483,33418396,金度延,2
a680212d-73d7-4262-9153-3ba68c6b30cc,33418396,李书静,2
fb60b792-7cd8-48fc-895b-9e20e00c4a1f,33418396,金秀经,2
1b0ff16f-aa18-4e7b-9fb8-a7f1bf4c8f18,33418396,姜昭恩,2
747e1afa-9597-4383-97f0-f4230ce5ac4d,33418396,鲁孝静,2
05b3afcd-e349-4a78-bdef-f5035e45971f,33418396,金辰昱,2
486fb6bc-a4f6-4d57-8d17-c020b75bb363,33418396,卢秀一,2
7469000c-0992-4908-a38a-e42a9ff449bc,33418396,高敏秀,2
06e9acb8-b7be-4aff-9882-d134f25675dd,33418396,李镇赫,2
551758eb-1a4d-4306-8017-d3091c941d1b,33418396,金宇硕,2
19ee7a6b-2056-4f41-be51-ba404a7533e1,33418396,宣叡仁,2
78664657-85ba-46d9-b01d-8a0a2749509f,33418396,韩奎珍,2
2ef69f75-c105-4aa7-94d6-30407b8f4144,33418396,李欢喜,2
5697b6f2-2cdb-4cdb-8ad9-f3b1bd1a766f,33418396,李东烈,2
4479c0bd-c77f-4611-a7ca-cccf2e4a833c,33418396,金晓珍,2
5f81972e-f870-4b2b-af43-79bf91c44750,33418396,李昌润,2
a620576d-c571-42c8-b330-aefde28302c5,33418396,李昇俊,2
4b4de94c-74af-44a5-b760-73a37c5a0df8,33418396,沈宰营,2
7b9f7174-33aa-4702-aa16-f4c8cb6f8f7f,33418396,朴珉均,2
37f53086-416f-4542-8fd5-208cc1f38585,33418396,水口裕斗,2
600bf489-b624-4d83-8584-3d99379a42b5,33418396,金民锡,2
1406060,33418396,俞定延,2
1355588,33418396,平井桃,2
1354126,33418396,凑崎纱夏,2
1413659,33418396,朴志效,2
1354125,33418396,名井南,2
1401007,33418396,金多贤,2
1413658,33418396,孙彩瑛,2
1354077,33418396,周子瑜,2
593565f0-37d6-4891-9b08-fe02d865bbc6,30263991,野田悠介,0
1358549,30263991,金沢达也,1
1321447,30263991,安达奈绪子,1
1345900,30263991,成田凌,2
1313718,30263991,新木优子,2
1343099,30263991,马场富美加,2
1002071,30263991,有冈大贵,2
a314b4de-f7f1-4119-85f7-3f59ae088b28,30470208,김부곤,0
ab6256dd-fdce-4cd3-9615-a2fbc0a8c66e,30470208,지오,2
8a3a1dfc-92fe-4e92-ba29-b93bc52c27f8,30470208,지현,2
b538304a-044d-4fd7-812a-a88387471059,30470208,문준용,2
8964eb7e-414d-4c35-96c2-97582e81eea5,30470208,조완진,2
1309435,30232260,常广丈太,0
1341937,30232260,本多孝好,1
1344623,30232260,金城一纪,1
1320333,30232260,青岛武 ,1
1321448,30232260,渡边雄介,1
1398441,30232260,德永富彦,1
1309435,30232260,泷本智行,1
1028166,30232260,山田孝之,2
1274418,30232260,菅田将晖,2
1058969,30232260,麻生久美子,2
1275733,30232260,桥本爱,2
1347978,30232260,野田洋次郎,2
1366823,30232260,石桥静河,2
1048388,30232260,余贵美子,2
1330369,30232260,渡边大知,2
1398440,30232260,朝比奈秀树,2
1035615,30232260,大塚明夫,2
1034382,30232260,松本若菜,2
1397461,30232260,中田青渚,2
ca0c1dab-ef0f-4dbf-bb06-8bbdcac925e7,30317962,NHK,0
a5065ed7-d148-4be7-ace1-4a471c4f7609,30317962,【語り】枝元萌,2
1020600,30345942,风间俊介,2
1343843,30345942,平野紫耀,2
1343911,30345942,永濑廉,2
1401144,30345942,高桥海人,2
1343742,30345942,岸优太,2
1327463,30345942,岩桥玄树,2
1326987,30345942,神宫寺勇太,2
49fbfcb8-bf36-4cce-ba52-71b3845b9af7,30372122,Arto Koskinen,0
10f426fe-d6ee-4a0c-9a44-a671edfc14f3,30372122,Arto Koskinen,1
70f3c1ad-2e55-46a7-9687-17efb7338a4f,30372122,Akseli Anttila,2
1da07c00-98d6-4a1d-ae36-d70bb3e4271a,30372122,Taneli Armanto,2
1032801,30372122,米哈伊尔·戈尔巴乔夫,2
f424e232-87a3-4a18-b81b-c32a26f2de2a,30372122,Ian Broughall,2
5e20b374-94c7-45b8-af47-3d9e132d4951,30372122,Mika Eriksson,2
1b190720-69f3-4638-9b6e-1377db6bac2a,30372122,Seppo Haataja,2
c700db7a-abf8-46a5-bd83-93b67e4a77c2,30276436,黄晨怡,0
973b12b2-7a5d-42ef-9ad4-c8e0ebf57b67,30276436,黄晨怡,1
0762b812-7e14-4c7c-9840-3408795c44b5,30276436,黄晨怡,2
923e0929-d569-49a0-8e8b-0ea4c185c3a0,30276436,蓝椿艺,2
d951348e-dbf4-4b35-97ad-35ac394baa63,30276436,刘毛宁,2
1378326,30425553,费利克斯·科尔格雷夫,0
1378326,30425553,费利克斯·科尔格雷夫,1
1274771,30263985,金希澈,2
1340011,30263985,卢洪哲,2
1398892,30263985,金永哲,2
a83240f2-c556-48a2-b3f7-87b1126c8366,30299197,陈耀辉,0
33184ca6-acf6-44e7-a673-b8d59034e587,30299197,徐瑞,1
44a5523c-fd3a-4c8b-8751-b6901184ec49,30299197,李煜,1
ddb8f87d-90fa-433e-9acc-8951b1b2cdef,30299197,孙聪,2
be2026af-a238-4c44-a5c5-8cdf4e5553e1,30299197,武凌,2
c1650ca8-adb7-4c33-b51b-c79033646d65,30299197,战天泽,2
52e267f1-eab7-4482-bd07-3cb02e7a1be9,30299197,俞琴琴,2
3a579f2b-cfd3-42f4-9f8e-2b9a54a1bd74,30299197,左震,2
02129bf5-8eaf-464f-b1ff-4d29053d2c71,30148206,李志倫,0
b8bd7c2e-41cf-4e8d-b662-89c3f01c3cb5,30148206,鄭月明,1
1275866,30148206,田蕊妮,2
1320199,30148206,袁文杰,2
1389082,30148206,张洁莲,2
1275625,30148206,陈荣峻,2
1384702,30148206,吴香伦,2
1323260,30148206,黄翠如,2
1316260,30148206,小肥,2
1275719,30148206,江若琳,2
ff30cc8d-bb48-4695-b427-d8ed29165760,30148206,萧润邦,2
1315302,30148206,郑敬基,2
81891993-75b1-4ccb-b1bc-4d00584a5666,30148206,Angie,2
1316211,30148206,陈柏宇,2
1356845,30148206,符晓薇,2
1315062,30148206,黄祥兴,2
fe88603b-bfed-4084-b4f2-f24384caaafd,30148206,Peggy,2
1307051,30148206,萧正楠,2
1314861,30148206,林子善,2
1316515,30148206,杨证桦,2
1328780,30148206,沈可欣,2
1367536,30148206,张崇德,2
1360779,30148206,刘美娟,2
1316264,30148206,郑子诚,2
1372743,30148206,林奕匡,2
461772fa-d8f6-4b38-844d-c18d87951ffd,30148206,李靄璣,2
1365542,30148206,邓佩仪,2
1385914,30148206,冯允谦,2
1052286,30148206,雷颂德,2
6d596833-49c9-41b0-b7f6-46db37869da0,30148206,梁家玉,2
1318964,30148206,吴家乐,2
1050335,30148206,陈慧琳,2
